CensusTract,State,County,POP2010
01017954200,AL,Chambers,3257
01017954300,AL,Chambers,4708
01017954400,AL,Chambers,995
01017954500,AL,Chambers,3804
01017954600,AL,Chambers,3411
01017954700,AL,Chambers,4852
01019955701,AL,Cherokee,3332
01019955702,AL,Cherokee,3872
01019955800,AL,Cherokee,5561
01019955900,AL,Cherokee,4235
01019956000,AL,Cherokee,4017
01019956100,AL,Cherokee,4972
01021060101,AL,Chilton,5219
01021060102,AL,Chilton,6303
01021060200,AL,Chilton,2807
01021060300,AL,Chilton,3808
01021060401,AL,Chilton,5466
01021060402,AL,Chilton,8776
01021060500,AL,Chilton,2902
01021060600,AL,Chilton,3261
01021060700,AL,Chilton,5101
01023956700,AL,Choctaw,3184
01023956800,AL,Choctaw,4423
01023956900,AL,Choctaw,3879
01023957000,AL,Choctaw,2373
01025957500,AL,Clarke,1760
01025957601,AL,Clarke,998
01025957602,AL,Clarke,5515
01025957700,AL,Clarke,1329
01025957800,AL,Clarke,5488
01025957901,AL,Clarke,3493
01025957902,AL,Clarke,4230
01025958001,AL,Clarke,1289
01025958002,AL,Clarke,1731
01027958900,AL,Clay,5324
01027959000,AL,Clay,3224
01027959100,AL,Clay,2904
01027959200,AL,Clay,2480
01029959500,AL,Cleburne,2684
01029959600,AL,Cleburne,4202
01029959700,AL,Cleburne,3419
01029959800,AL,Cleburne,4667
01031010100,AL,Coffee,2057
01031010200,AL,Coffee,1841
01031010300,AL,Coffee,4258
01031010400,AL,Coffee,2152
01031010500,AL,Coffee,4558
01031010600,AL,Coffee,1561
01031010700,AL,Coffee,2286
01031010800,AL,Coffee,2840
01031010900,AL,Coffee,2117
01031011000,AL,Coffee,3526
01031011100,AL,Coffee,2026
01031011201,AL,Coffee,8036
01031011202,AL,Coffee,8530
01031011300,AL,Coffee,4160
01033020100,AL,Colbert,3467
01033020200,AL,Colbert,1957
01033020300,AL,Colbert,2032
01033020400,AL,Colbert,1530
01033020500,AL,Colbert,5221
01033020600,AL,Colbert,4128
01033020701,AL,Colbert,6103
01033020703,AL,Colbert,5175
01033020704,AL,Colbert,4321
01033020801,AL,Colbert,4487
01033020802,AL,Colbert,3766
01033020901,AL,Colbert,4327
01033020902,AL,Colbert,3972
01033021000,AL,Colbert,3942
01035960200,AL,Conecuh,1808
01035960300,AL,Conecuh,1731
01035960400,AL,Conecuh,3251
01035960500,AL,Conecuh,1771
01035960600,AL,Conecuh,4667
01037961000,AL,Coosa,3956
01037961100,AL,Coosa,3927
01037961200,AL,Coosa,3656
01039961600,AL,Covington,4133
01039961700,AL,Covington,4032
01039961800,AL,Covington,3129
01039961900,AL,Covington,2127
01039962000,AL,Covington,3917
01039962100,AL,Covington,2011
01039962300,AL,Covington,3279
01039962400,AL,Covington,3144
01039962500,AL,Covington,1524
01039962600,AL,Covington,1517
01039962700,AL,Covington,1686
01039962800,AL,Covington,1736
01039962900,AL,Covington,1846
01039963000,AL,Covington,3684
01041963400,AL,Crenshaw,1925
01041963500,AL,Crenshaw,1903
01041963600,AL,Crenshaw,3180
01041963700,AL,Crenshaw,3809
01041963800,AL,Crenshaw,1681
01041963900,AL,Crenshaw,1408
01043964100,AL,Cullman,5582
01043964200,AL,Cullman,7373
01043964300,AL,Cullman,5001
01043964400,AL,Cullman,4112
01043964500,AL,Cullman,4180
01043964600,AL,Cullman,4007
01043964700,AL,Cullman,4643
01043964800,AL,Cullman,4289
01043964900,AL,Cullman,6683
01043965000,AL,Cullman,6071
01043965100,AL,Cullman,3578
01043965200,AL,Cullman,2309
01043965300,AL,Cullman,4539
01043965401,AL,Cullman,3310
01043965402,AL,Cullman,4189
01043965500,AL,Cullman,5631
01043965600,AL,Cullman,2257
01043965700,AL,Cullman,2652
01045020000,AL,Dale,4642
01045020100,AL,Dale,3823
01045020200,AL,Dale,2067
01045020300,AL,Dale,2396
01045020400,AL,Dale,2542
01045020500,AL,Dale,2049
01045020700,AL,Dale,3518
01045020801,AL,Dale,3361
01045020802,AL,Dale,4351
01045021101,AL,Dale,4893
01045021102,AL,Dale,4387
01045021200,AL,Dale,2696
01045021300,AL,Dale,4034
01045021400,AL,Dale,5492
01047956100,AL,Dallas,6753
01047956201,AL,Dallas,2550
01047956202,AL,Dallas,2327
01047956300,AL,Dallas,3791
01047956400,AL,Dallas,3150
01047956500,AL,Dallas,3811
01047956600,AL,Dallas,3811
01047956701,AL,Dallas,1855
01047956702,AL,Dallas,1602
01047956800,AL,Dallas,2789
01047956900,AL,Dallas,2804
01047957000,AL,Dallas,1274
01047957100,AL,Dallas,1345
01047957200,AL,Dallas,1754
01047957300,AL,Dallas,4204
01049960100,AL,DeKalb,5937
01049960200,AL,DeKalb,3530
01049960300,AL,DeKalb,6908
01049960400,AL,DeKalb,6483
01049960500,AL,DeKalb,5373
01049960600,AL,DeKalb,6393
01049960700,AL,DeKalb,8628
01049960800,AL,DeKalb,4498
01049960900,AL,DeKalb,3809
01049961000,AL,DeKalb,3914
01049961100,AL,DeKalb,3258
01049961200,AL,DeKalb,2107
01049961300,AL,DeKalb,5967
01049961400,AL,DeKalb,4304
01051030100,AL,Elmore,10104
01051030200,AL,Elmore,4757
01051030300,AL,Elmore,2464
01051030400,AL,Elmore,7712
01051030500,AL,Elmore,4695
01051030600,AL,Elmore,7405
01051030701,AL,Elmore,6257
01051030702,AL,Elmore,3678
01051030800,AL,Elmore,5784
01051030901,AL,Elmore,6234
01051030902,AL,Elmore,3699
01051031000,AL,Elmore,6516
01051031100,AL,Elmore,4221
01051031200,AL,Elmore,1809
01051031300,AL,Elmore,3968
01053969800,AL,Escambia,5955
01053969900,AL,Escambia,4361
01053970100,AL,Escambia,4516
01053970200,AL,Escambia,1739
01053970300,AL,Escambia,3632
01053970400,AL,Escambia,5744
01053970500,AL,Escambia,4819
01053970600,AL,Escambia,4035
01053970700,AL,Escambia,3518
01055000200,AL,Etowah,3660
01055000300,AL,Etowah,2684
01055000400,AL,Etowah,3866
01055000500,AL,Etowah,1814
01055000600,AL,Etowah,1964
01055000700,AL,Etowah,1376
01055000800,AL,Etowah,1089
01055000900,AL,Etowah,2698
01055001000,AL,Etowah,1286
01055001100,AL,Etowah,4729
01055001200,AL,Etowah,3546
01055001300,AL,Etowah,2571
01055001600,AL,Etowah,3524
01055001700,AL,Etowah,1638
01055010100,AL,Etowah,2059
01055010200,AL,Etowah,5518
01055010300,AL,Etowah,2918
01055010401,AL,Etowah,3471
01055010402,AL,Etowah,5504
01055010501,AL,Etowah,8191
01055010502,AL,Etowah,4988
01055010601,AL,Etowah,5295
01055010602,AL,Etowah,3984
01055010700,AL,Etowah,3769
01055010800,AL,Etowah,2953
01055010900,AL,Etowah,1721
01055011001,AL,Etowah,4613
01055011002,AL,Etowah,4765
01055011100,AL,Etowah,5302
01055011200,AL,Etowah,2934
01057020000,AL,Fayette,1469
01057020100,AL,Fayette,3669
01057020200,AL,Fayette,4499
01057020300,AL,Fayette,4054
01057020400,AL,Fayette,3550
01059972900,AL,Franklin,4008
01059973000,AL,Franklin,5373
01059973100,AL,Franklin,2378
01059973200,AL,Franklin,3919
01059973300,AL,Franklin,3452
01059973400,AL,Franklin,2652
01059973500,AL,Franklin,2231
01059973600,AL,Franklin,1795
01059973700,AL,Franklin,5896
01061050100,AL,Geneva,5098
01061050200,AL,Geneva,2323
01061050300,AL,Geneva,5412
01061050400,AL,Geneva,5907
01061050500,AL,Geneva,4288
01061050600,AL,Geneva,3762
01063060000,AL,Greene,1814
01063060100,AL,Greene,4410
01063060200,AL,Greene,2821
01065040000,AL,Hale,3534
01065040100,AL,Hale,1582
01065040200,AL,Hale,1590
01065040300,AL,Hale,2093
01065040400,AL,Hale,5399
01065040500,AL,Hale,1562
01067030100,AL,Henry,1910
01067030200,AL,Henry,2962
01067030300,AL,Henry,3093
01067030400,AL,Henry,1842
01067030500,AL,Henry,5951
01067030600,AL,Henry,1544
01069040100,AL,Houston,4949
01069040201,AL,Houston,9001
01069040202,AL,Houston,8142
01069040301,AL,Houston,3928
01069040302,AL,Houston,3589
01069040400,AL,Houston,2484
01069040500,AL,Houston,3458
01069040600,AL,Houston,2471
01069040700,AL,Houston,2662
01069040800,AL,Houston,7774
01069040900,AL,Houston,4657
01069041000,AL,Houston,5145
01069041100,AL,Houston,3849
01069041200,AL,Houston,2539
01069041400,AL,Houston,3093
01069041500,AL,Houston,4173
01069041600,AL,Houston,5377
01069041700,AL,Houston,1402
01069041800,AL,Houston,2305
01069041900,AL,Houston,7572
01069042000,AL,Houston,5683
01069042100,AL,Houston,7294
01071950100,AL,Jackson,6749
01071950200,AL,Jackson,3516
01071950300,AL,Jackson,5897
01071950400,AL,Jackson,2119
01071950500,AL,Jackson,3518
01071950600,AL,Jackson,5951
01071950700,AL,Jackson,4272
01071950800,AL,Jackson,4059
01071950900,AL,Jackson,5613
01071951000,AL,Jackson,4438
01071951100,AL,Jackson,7095
01073000100,AL,Jefferson,3042
01073000300,AL,Jefferson,2735
01073000400,AL,Jefferson,3338
01073000500,AL,Jefferson,2864
01073000700,AL,Jefferson,2577
01073000800,AL,Jefferson,3859
01073001100,AL,Jefferson,5355
01073001200,AL,Jefferson,2876
01073001400,AL,Jefferson,2181
01073001500,AL,Jefferson,3189
01073001600,AL,Jefferson,3390
01073001902,AL,Jefferson,1894
01073002000,AL,Jefferson,3885
01073002100,AL,Jefferson,3186
01073002200,AL,Jefferson,2630
01073002303,AL,Jefferson,2936
01073002305,AL,Jefferson,2952
01073002306,AL,Jefferson,3259
01073002400,AL,Jefferson,3629
01073002700,AL,Jefferson,3992
01073002900,AL,Jefferson,2064
01073003001,AL,Jefferson,3779
01073003002,AL,Jefferson,2203
01073003100,AL,Jefferson,3637
01073003200,AL,Jefferson,931
01073003300,AL,Jefferson,947
01073003400,AL,Jefferson,2477
01073003500,AL,Jefferson,2795
01073003600,AL,Jefferson,4683
01073003700,AL,Jefferson,5063
01073003802,AL,Jefferson,5409
01073003803,AL,Jefferson,4199
01073003900,AL,Jefferson,1783
01073004000,AL,Jefferson,3772
01073004200,AL,Jefferson,2341
01073004500,AL,Jefferson,5003
01073004701,AL,Jefferson,3480
01073004702,AL,Jefferson,2944
01073004800,AL,Jefferson,1861
01073004901,AL,Jefferson,1167
01073004902,AL,Jefferson,3146
01073005000,AL,Jefferson,3482
01073005101,AL,Jefferson,1507
01073005103,AL,Jefferson,2587
01073005104,AL,Jefferson,3648
01073005200,AL,Jefferson,3740
01073005302,AL,Jefferson,3463
01073005500,AL,Jefferson,2167
01073005600,AL,Jefferson,4578
01073005701,AL,Jefferson,2372
01073005702,AL,Jefferson,3413
01073005800,AL,Jefferson,4216
01073005903,AL,Jefferson,4950
01073005905,AL,Jefferson,5174
01073005907,AL,Jefferson,2096
01073005908,AL,Jefferson,4101
01073005909,AL,Jefferson,2539
01073005910,AL,Jefferson,5234
01073010001,AL,Jefferson,5289
01073010002,AL,Jefferson,4932
01073010100,AL,Jefferson,2007
01073010200,AL,Jefferson,2743
01073010301,AL,Jefferson,2685
01073010302,AL,Jefferson,4117
01073010401,AL,Jefferson,3765
01073010402,AL,Jefferson,1855
01073010500,AL,Jefferson,1628
01073010602,AL,Jefferson,6266
01073010603,AL,Jefferson,2437
01073010701,AL,Jefferson,2218
01073010702,AL,Jefferson,4484
01073010703,AL,Jefferson,2304
01073010704,AL,Jefferson,4892
01073010705,AL,Jefferson,3487
01073010706,AL,Jefferson,4880
01073010801,AL,Jefferson,5792
01073010802,AL,Jefferson,3448
01073010803,AL,Jefferson,6514
01073010804,AL,Jefferson,2984
01073010805,AL,Jefferson,7367
01073010900,AL,Jefferson,4989
01073011001,AL,Jefferson,5663
01073011002,AL,Jefferson,2171
01073011104,AL,Jefferson,7903
01073011107,AL,Jefferson,10433
01073011108,AL,Jefferson,4548
01073011109,AL,Jefferson,4123
01073011110,AL,Jefferson,5677
01073011111,AL,Jefferson,8018
01073011205,AL,Jefferson,2087
01073011206,AL,Jefferson,5686
01073011207,AL,Jefferson,5010
01073011208,AL,Jefferson,3975
01073011209,AL,Jefferson,3221
01073011210,AL,Jefferson,3820
01073011301,AL,Jefferson,3621
01073011302,AL,Jefferson,6267
01073011400,AL,Jefferson,6581
01073011500,AL,Jefferson,5902
01073011600,AL,Jefferson,4027
01073011703,AL,Jefferson,9111
01073011704,AL,Jefferson,3984
01073011705,AL,Jefferson,7695
01073011706,AL,Jefferson,2394
01073011802,AL,Jefferson,7512
01073011803,AL,Jefferson,4802
01073011804,AL,Jefferson,2978
01073011901,AL,Jefferson,2957
01073011904,AL,Jefferson,2337
01073012001,AL,Jefferson,4408
01073012002,AL,Jefferson,6387
01073012103,AL,Jefferson,4146
01073012104,AL,Jefferson,3024
01073012200,AL,Jefferson,4160
01073012302,AL,Jefferson,3829
01073012304,AL,Jefferson,2611
01073012305,AL,Jefferson,7947
01073012401,AL,Jefferson,3737
01073012402,AL,Jefferson,3077
01073012403,AL,Jefferson,3592
01073012500,AL,Jefferson,4454
01073012602,AL,Jefferson,2973
01073012701,AL,Jefferson,3537
01073012703,AL,Jefferson,5593
01073012704,AL,Jefferson,2131
01073012802,AL,Jefferson,2759
01073012803,AL,Jefferson,4734
01073012905,AL,Jefferson,4277
01073012906,AL,Jefferson,6671
01073012907,AL,Jefferson,4831
01073012908,AL,Jefferson,4746
01073012910,AL,Jefferson,3347
01073012911,AL,Jefferson,5757
01073012912,AL,Jefferson,5473
01073012913,AL,Jefferson,4614
01073012914,AL,Jefferson,1927
01073012915,AL,Jefferson,6083
01073013002,AL,Jefferson,1514
01073013100,AL,Jefferson,4508
01073013200,AL,Jefferson,2292
01073013300,AL,Jefferson,3588
01073013400,AL,Jefferson,4838
01073013601,AL,Jefferson,3511
01073013801,AL,Jefferson,2122
01073013901,AL,Jefferson,1704
01073013902,AL,Jefferson,2141
01073014001,AL,Jefferson,4011
01073014002,AL,Jefferson,3656
01073014102,AL,Jefferson,4918
01073014104,AL,Jefferson,3317
01073014105,AL,Jefferson,4186
01073014203,AL,Jefferson,12502
01073014204,AL,Jefferson,9787
01073014301,AL,Jefferson,2802
01073014302,AL,Jefferson,5666
01073014404,AL,Jefferson,5433
01073014405,AL,Jefferson,3929
01073014406,AL,Jefferson,5759
01073014408,AL,Jefferson,3648
01073014409,AL,Jefferson,3309
01073014410,AL,Jefferson,5180
01073014412,AL,Jefferson,4162
01073014413,AL,Jefferson,8852
01075030000,AL,Lamar,4689
01075030100,AL,Lamar,5713
01075030200,AL,Lamar,4162
01077010100,AL,Lauderdale,1959
01077010200,AL,Lauderdale,1953
01077010300,AL,Lauderdale,1513
01077010400,AL,Lauderdale,2871
01077010600,AL,Lauderdale,2740
01077010700,AL,Lauderdale,2098
01077010800,AL,Lauderdale,3797
01077010900,AL,Lauderdale,7081
01077011000,AL,Lauderdale,4612
01077011101,AL,Lauderdale,5919
01077011102,AL,Lauderdale,4465
01077011200,AL,Lauderdale,4023
01077011300,AL,Lauderdale,2353
01077011400,AL,Lauderdale,6563
01077011501,AL,Lauderdale,6260
01077011502,AL,Lauderdale,5231
01077011602,AL,Lauderdale,5073
01077011603,AL,Lauderdale,4478
01077011604,AL,Lauderdale,6610
01077011700,AL,Lauderdale,4480
01077011801,AL,Lauderdale,4922
01077011802,AL,Lauderdale,3708
01079979100,AL,Lawrence,1668
01079979200,AL,Lawrence,4655
01079979300,AL,Lawrence,4615
01079979400,AL,Lawrence,4514
01079979500,AL,Lawrence,6071
01079979600,AL,Lawrence,5481
01079979700,AL,Lawrence,2124
01079979800,AL,Lawrence,3269
01079979900,AL,Lawrence,1942
01081040200,AL,Lee,5133
01081040300,AL,Lee,2470
01081040400,AL,Lee,6960
01081040500,AL,Lee,7652
01081040602,AL,Lee,4152
01081040603,AL,Lee,988
01081040604,AL,Lee,5146
01081040700,AL,Lee,3977
01081040800,AL,Lee,3750
01081040901,AL,Lee,3264
01081040902,AL,Lee,5201
01081041000,AL,Lee,7236
01081041100,AL,Lee,9042
01081041200,AL,Lee,4400
01081041300,AL,Lee,3325
01081041400,AL,Lee,3565
01081041600,AL,Lee,3226
01081041700,AL,Lee,8528
01081041800,AL,Lee,6705
01081041900,AL,Lee,7623
01081042002,AL,Lee,6621
01081042003,AL,Lee,3645
01081042004,AL,Lee,9990
01081042005,AL,Lee,5181
01081042006,AL,Lee,1998
01081042101,AL,Lee,3643
01081042102,AL,Lee,6826
01083020101,AL,Limestone,4257
01083020102,AL,Limestone,6317
01083020201,AL,Limestone,4820
01083020202,AL,Limestone,4957
01083020300,AL,Limestone,3583
01083020401,AL,Limestone,5961
01083020402,AL,Limestone,5404
01083020500,AL,Limestone,2805
01083020600,AL,Limestone,4140
01083020700,AL,Limestone,2062
01083020801,AL,Limestone,8032
01083020802,AL,Limestone,8228
01083020900,AL,Limestone,3755
01083021000,AL,Limestone,2445
01083021100,AL,Limestone,6578
01083021200,AL,Limestone,9438
01085780800,AL,Lowndes,3620
01085781000,AL,Lowndes,2932
01085781100,AL,Lowndes,1861
01085781200,AL,Lowndes,2886
01087231400,AL,Macon,1403
01087231500,AL,Macon,3156
01087231601,AL,Macon,1187
01087231602,AL,Macon,1559
01087231603,AL,Macon,1307
01087231700,AL,Macon,2113
01087231800,AL,Macon,1262
01087231900,AL,Macon,1940
01087232000,AL,Macon,1531
01087232100,AL,Macon,1935
01087232200,AL,Macon,2309
01087232300,AL,Macon,1750
01089000201,AL,Madison,760
01089000202,AL,Madison,4399
01089000301,AL,Madison,3954
01089000302,AL,Madison,3650
01089000403,AL,Madison,4886
01089000501,AL,Madison,1807
01089000502,AL,Madison,2333
01089000503,AL,Madison,1878
01089000601,AL,Madison,1598
01089000602,AL,Madison,1992
01089000701,AL,Madison,2997
01089000702,AL,Madison,2651
01089000901,AL,Madison,4193
01089000902,AL,Madison,2061
01089001000,AL,Madison,2882
01089001200,AL,Madison,3380
01089001301,AL,Madison,3868
01089001302,AL,Madison,1844
01089001401,AL,Madison,1579
01089001402,AL,Madison,4853
01089001500,AL,Madison,4946
01089001700,AL,Madison,1871
01089001801,AL,Madison,3571
01089001901,AL,Madison,3386
01089001902,AL,Madison,1333
01089001903,AL,Madison,2484
01089002000,AL,Madison,2095
01089002100,AL,Madison,3495
01089002200,AL,Madison,2101
01089002300,AL,Madison,5172
01089002400,AL,Madison,4744
01089002501,AL,Madison,3427
01089002502,AL,Madison,3082
01089002600,AL,Madison,4036
01089002701,AL,Madison,2534
01089002721,AL,Madison,4039
01089002722,AL,Madison,3074
01089002801,AL,Madison,3894
01089002802,AL,Madison,5829
01089002911,AL,Madison,4535
01089002912,AL,Madison,2466
01089002921,AL,Madison,6224
01089002922,AL,Madison,4387
01089003000,AL,Madison,3086
01089003100,AL,Madison,2982
01089010100,AL,Madison,9355
01089010200,AL,Madison,5516
01089010301,AL,Madison,8125
01089010302,AL,Madison,3868
01089010401,AL,Madison,6027
01089010402,AL,Madison,6736
01089010501,AL,Madison,11342
01089010502,AL,Madison,2926
01089010612,AL,Madison,4288
01089010621,AL,Madison,6759
01089010622,AL,Madison,9764
01089010623,AL,Madison,5845
01089010624,AL,Madison,8187
01089010701,AL,Madison,7848
01089010702,AL,Madison,7199
01089010800,AL,Madison,9826
01089010901,AL,Madison,12621
01089010902,AL,Madison,3124
01089011011,AL,Madison,9111
01089011012,AL,Madison,5976
01089011013,AL,Madison,5058
01089011014,AL,Madison,8722
01089011021,AL,Madison,3912
01089011022,AL,Madison,6466
01089011100,AL,Madison,1955
01089011200,AL,Madison,8316
01089011300,AL,Madison,5242
01089011400,AL,Madison,4339
01091972900,AL,Marengo,5235
01091973000,AL,Marengo,4762
01091973100,AL,Marengo,2150
01091973200,AL,Marengo,2473
01091973300,AL,Marengo,2088
01091973400,AL,Marengo,4319
01093964000,AL,Marion,5087
01093964100,AL,Marion,2767
01093964200,AL,Marion,1560
01093964300,AL,Marion,4457
01093964400,AL,Marion,5818
01093964500,AL,Marion,2175
01093964600,AL,Marion,3298
01093964700,AL,Marion,5614
01095030100,AL,Marshall,2662
01095030201,AL,Marshall,5381
01095030202,AL,Marshall,4820
01095030300,AL,Marshall,6430
01095030401,AL,Marshall,4583
01095030402,AL,Marshall,3453
01095030500,AL,Marshall,7454
01095030600,AL,Marshall,6510
01095030701,AL,Marshall,3724
01095030702,AL,Marshall,4024
01095030801,AL,Marshall,5014
01095030802,AL,Marshall,7726
01095030902,AL,Marshall,4267
01095030903,AL,Marshall,5492
01095030904,AL,Marshall,5409
01095031000,AL,Marshall,6028
01095031100,AL,Marshall,4688
01095031200,AL,Marshall,5354
01097000200,AL,Mobile,1416
01097000401,AL,Mobile,1233
01097000402,AL,Mobile,103
01097000500,AL,Mobile,1815
01097000600,AL,Mobile,2897
01097000701,AL,Mobile,2162
01097000702,AL,Mobile,2451
01097000800,AL,Mobile,4029
01097000901,AL,Mobile,1708
01097000902,AL,Mobile,2045
01097000903,AL,Mobile,1627
01097001001,AL,Mobile,2058
01097001002,AL,Mobile,2176
01097001100,AL,Mobile,2244
01097001200,AL,Mobile,3484
01097001302,AL,Mobile,3045
01097001400,AL,Mobile,2172
01097001501,AL,Mobile,2164
01097001502,AL,Mobile,1608
01097001800,AL,Mobile,2634
01097001901,AL,Mobile,2254
01097001902,AL,Mobile,3418
01097002000,AL,Mobile,1819
01097002100,AL,Mobile,3906
01097002200,AL,Mobile,2850
01097002301,AL,Mobile,2188
01097002302,AL,Mobile,2007
01097002400,AL,Mobile,3761
01097002501,AL,Mobile,3439
01097002502,AL,Mobile,2339
01097002600,AL,Mobile,2682
01097002700,AL,Mobile,2446
01097002800,AL,Mobile,4536
01097002900,AL,Mobile,3667
01097003000,AL,Mobile,3144
01097003100,AL,Mobile,4370
01097003202,AL,Mobile,2768
01097003203,AL,Mobile,3629
01097003204,AL,Mobile,4769
01097003205,AL,Mobile,3557
01097003301,AL,Mobile,2683
01097003302,AL,Mobile,4674
01097003402,AL,Mobile,3693
01097003404,AL,Mobile,2540
01097003405,AL,Mobile,1899
01097003406,AL,Mobile,2791
01097003407,AL,Mobile,7135
01097003408,AL,Mobile,3994
01097003501,AL,Mobile,3664
01097003502,AL,Mobile,2561
01097003602,AL,Mobile,1532
01097003605,AL,Mobile,791
01097003606,AL,Mobile,3125
01097003607,AL,Mobile,3805
01097003608,AL,Mobile,1300
01097003703,AL,Mobile,3425
01097003704,AL,Mobile,4259
01097003705,AL,Mobile,4379
01097003706,AL,Mobile,3163
01097003707,AL,Mobile,4477
01097003708,AL,Mobile,3833
01097003709,AL,Mobile,5762
01097003710,AL,Mobile,4402
01097003800,AL,Mobile,1467
01097003901,AL,Mobile,2076
01097003902,AL,Mobile,969
01097004000,AL,Mobile,2538
01097004100,AL,Mobile,910
01097004800,AL,Mobile,1303
01097004900,AL,Mobile,3289
01097005000,AL,Mobile,1872
01097005100,AL,Mobile,1557
01097005200,AL,Mobile,1534
01097005300,AL,Mobile,1990
01097005400,AL,Mobile,4068
01097005500,AL,Mobile,2973
01097005600,AL,Mobile,7164
01097005700,AL,Mobile,7182
01097005800,AL,Mobile,4942
01097005900,AL,Mobile,4538
01097006000,AL,Mobile,4996
01097006102,AL,Mobile,2941
01097006103,AL,Mobile,5080
01097006104,AL,Mobile,4592
01097006105,AL,Mobile,6575
01097006200,AL,Mobile,6036
01097006301,AL,Mobile,10520
01097006302,AL,Mobile,6313
01097006402,AL,Mobile,4702
01097006403,AL,Mobile,1821
01097006404,AL,Mobile,10046
01097006405,AL,Mobile,6901
01097006406,AL,Mobile,7548
01097006407,AL,Mobile,6016
01097006501,AL,Mobile,4878
01097006502,AL,Mobile,11958
01097006600,AL,Mobile,5548
01097006701,AL,Mobile,7341
01097006702,AL,Mobile,4064
01097006801,AL,Mobile,7958
01097006802,AL,Mobile,3280
01097006901,AL,Mobile,7604
01097006902,AL,Mobile,3973
01097007000,AL,Mobile,4559
01097007101,AL,Mobile,4717
01097007102,AL,Mobile,3110
01097007103,AL,Mobile,3390
01097007201,AL,Mobile,2999
01097007202,AL,Mobile,2771
01097007300,AL,Mobile,4439
01097007400,AL,Mobile,3647
01097007500,AL,Mobile,1856
01097007600,AL,Mobile,2371
